hanzi,pinyin
阿,a
爱,ai
安,an
昂,ang
凹,ao
把,ba
百,bai
办,ban
帮,bang
报,bao
北,bei
本,ben
泵,beng
比,bi
变,bian
表,biao
别,bie
宾,bin
并,bing
波,bo
不,bu
擦,ca
采,cai
参,can
藏,cang
草,cao
测,ce
岑,cen
层,ceng
查,cha
柴,chai
产,chan
长,chang
朝,chao
车,che
陈,chen
成,cheng
持,chi
虫,chong
抽,chou
出,chu
揣,chuai
传,chuan
床,chuang
吹,chui
春,chun
戳,chuo
此,ci
从,cong
凑,cou
粗,cu
篡,cuan
催,cui
存,cun
错,cuo
大,da
代,dai
单,dan
党,dang
到,dao
的,de
等,deng
地,di
嗲,dia
电,dian
调,diao
迭,die
定,ding
丢,diu
动,dong
斗,dou
度,du
断,duan
对,dui
盾,dun
多,duo
而,e
诶,ei
恩,en
而,er
发,fa
反,fan
方,fang
非,fei
分,fen
风,feng
否,fou
复,fu
噶,ga
改,gai
干,gan
刚,gang
高,gao
个,ge
根,gen
更,geng
工,gong
够,gou
鼓,gu
挂,gua
怪,guai
关,guan
光,guang
规,gui
滚,gun
国,guo
哈,ha
还,hai
含,han
航,hang
好,hao
和,he
黑,hei
很,hen
横,heng
红,hong
后,hou
护,hu
化,hua
坏,huai
环,huan
黄,huang
会,hui
混,hun
活,huo
级,ji
加,jia
间,jian
将,jiang
较,jiao
结,jie
进,jin
经,jing
炯,jiong
就,jiu
具,ju
卷,juan
决,jue
军,jun
卡,ka
开,kai
看,kan
抗,kang
考,kao
可,ke
肯,ken
坑,keng
孔,kong
口,kou
苦,ku
跨,kua
快,kuai
宽,kuan
况,kuang
奎,kui
困,kun
扩,kuo
拉,la
来,lai
兰,lan
浪,lang
老,lao
了,le
类,lei
冷,leng
理,li
俩,lia
连,lian
量,liang
料,liao
列,lie
林,lin
领,ling
流,liu
龙,long
漏,lou
路,lu
卵,luan
略,lue
论,lun
落,luo
马,ma
麦,mai
满,man
忙,mang
毛,mao
么,me
没,mei
们,men
孟,meng
米,mi
面,mian
苗,miao
灭,mie
民,min
命,ming
谬,miu
磨,mo
某,mou
亩,mu
那,na
耐,nai
南,nan
囊,nang
脑,nao
呢,ne
内,nei
嫩,nen
能,neng
你,ni
年,nian
娘,niang
尿,niao
镍,nie
您,nin
宁,ning
牛,niu
农,nong
耨,nou
女,nu
暖,nuan
虐,nue
诺,nuo
欧,ou
怕,pa
派,pai
判,pan
旁,pang
跑,pao
配,pei
喷,pen
碰,peng
批,pi
片,pian
票,piao
撇,pie
品,pin
平,ping
破,po
剖,pou
普,pu
起,qi
恰,qia
前,qian
强,qiang
桥,qiao
切,qie
亲,qin
情,qing
穷,qiong
求,qiu
去,qu
全,quan
确,que
群,qun
然,ran
让,rang
绕,rao
热,re
人,ren
仍,reng
日,ri
容,rong
肉,rou
如,ru
软,ruan
瑞,rui
润,run
弱,ruo
撒,sa
塞,sai
三,san
桑,sang
扫,sao
色,se
森,sen
僧,seng
沙,sha
筛,shai
山,shan
上,shang
少,shao
社,she
深,shen
生,sheng
是,shi
手,shou
数,shu
刷,shua
衰,shuai
栓,shuan
双,shuang
水,shui
顺,shun
说,shuo
四,si
松,song
搜,sou
素,su
算,suan
随,sui
损,sun
所,suo
他,ta
台,tai
谈,tan
堂,tang
套,tao
特,te
腾,teng
提,ti
天,tian
条,tiao
铁,tie
听,ting
同,tong
头,tou
图,tu
团,tuan
推,tui
吞,tun
脱,tuo
瓦,wa
外,wai
完,wan
往,wang
为,wei
问,wen
嗡,weng
我,wo
无,wu
系,xi
下,xia
线,xian
想,xiang
小,xiao
些,xie
新,xin
行,xing
雄,xiong
修,xiu
续,xu
选,xuan
学,xue
训,xun
压,ya
验,yan
样,yang
要,yao
也,ye
一,yi
因,yin
应,ying
哟,yo
用,yong
有,you
于,yu
员,yuan
月,yue
运,yun
杂,za
在,zai
赞,zan
脏,zang
造,zao
则,ze
贼,zei
怎,zen
增,zeng
扎,zha
寨,zhai
战,zhan
张,zhang
照,zhao
这,zhe
真,zhen
争,zheng
之,zhi
中,zhong
轴,zhou
主,zhu
抓,zhua
拽,zhuai
转,zhuan
装,zhuang
追,zhui
准,zhun
捉,zhuo
子,zi
总,zong
走,zou
组,zu
钻,zuan
最,zui
尊,zun
作,zuo
